Date,Time,Open,High,Low,Close
03/16/2010,00:00,6143.0,6259.5,6106.0,6208.0
03/23/2010,00:00,6216.0,6315.0,6177.0,6268.5
03/30/2010,00:00,6255.5,6473.5,6230.0,6427.5
04/06/2010,00:00,6425.0,6533.0,6374.5,6489.5
04/13/2010,00:00,6519.5,6562.5,6402.5,6523.5
04/20/2010,00:00,6499.5,6576.0,6399.0,6456.0
04/27/2010,00:00,6453.5,6606.5,6370.5,6581.5
05/04/2010,00:00,6588.5,6598.5,6257.0,6447.5
05/11/2010,00:00,6441.5,6465.5,5816.5,6264.0
05/18/2010,00:00,6202.5,6539.5,6171.5,6379.0
05/25/2010,00:00,6374.5,6446.5,5867.5,6018.5
06/01/2010,00:00,5918.0,6272.5,5867.5,6228.5
06/08/2010,00:00,6193.5,6375.0,6058.0,6118.0
06/15/2010,00:00,6158.0,6483.5,6058.0,6334.5
06/22/2010,00:00,6362.5,6613.5,6337.5,6508.0
06/29/2010,00:00,6535.0,6556.5,6186.5,6391.5
07/06/2010,00:00,6343.0,6343.0,6059.0,6081.5
07/13/2010,00:00,6102.5,6461.5,6100.5,6348.0
07/20/2010,00:00,6344.0,6518.5,6165.5,6302.0
07/27/2010,00:00,6288.5,6513.0,6165.5,6457.5
08/03/2010,00:00,6455.5,6572.0,6317.0,6554.0
08/10/2010,00:00,6549.5,6645.5,6501.5,6612.5
08/17/2010,00:00,6594.0,6596.0,6317.5,6375.0
08/24/2010,00:00,6397.0,6487.5,6124.5,6260.5
08/31/2010,00:00,6245.5,6246.0,6070.0,6135.0
09/07/2010,00:00,6104.5,6433.5,6070.0,6409.0
09/14/2010,00:00,6406.5,6547.0,6317.0,6518.0
09/21/2010,00:00,6507.5,6594.5,6438.5,6565.0
09/28/2010,00:00,6548.5,6594.5,6381.5,6531.5
10/05/2010,00:00,6535.0,6593.0,6363.5,6389.5
10/12/2010,00:00,6409.0,6586.5,6370.0,6562.5
10/19/2010,00:00,6523.0,6806.5,6475.0,6796.0
10/26/2010,00:00,6761.5,6929.0,6708.0,6892.0
11/02/2010,00:00,6894.5,6928.5,6807.5,6844.0
11/09/2010,00:00,6854.5,7063.5,6848.0,7019.0
11/16/2010,00:00,6998.5,7065.5,6870.5,7031.0
11/23/2010,00:00,7006.0,7152.5,6899.5,7092.0
11/30/2010,00:00,7047.0,7155.5,6905.5,6997.5
12/07/2010,00:00,6973.0,7288.5,6905.5,7201.0
12/14/2010,00:00,7219.5,7291.0,7191.5,7264.5
12/21/2010,00:00,7267.5,7331.0,7209.5,7273.0
12/28/2010,00:00,7290.5,7331.0,7140.5,7220.5
01/04/2011,00:00,7231.0,7268.0,7135.5,7213.0
01/11/2011,00:00,7215.0,7284.5,7068.0,7100.5
01/18/2011,00:00,7116.0,7390.5,7092.5,7313.5
01/25/2011,00:00,7311.5,7418.5,7236.0,7321.5
02/01/2011,00:00,7327.5,7430.5,7266.5,7331.0
02/08/2011,00:00,7348.5,7566.5,7338.5,7509.5
02/15/2011,00:00,7513.5,7654.5,7500.5,7643.5
02/22/2011,00:00,7638.5,7673.5,7477.5,7555.0
03/01/2011,00:00,7536.0,7586.0,7309.0,7518.0
03/08/2011,00:00,7555.5,7586.0,7297.5,7387.0
03/15/2011,00:00,7419.5,7452.0,6709.0,7118.5
03/22/2011,00:00,6887.0,7051.5,6638.0,7038.0
03/29/2011,00:00,7043.5,7208.5,6941.0,7145.5
04/05/2011,00:00,7157.5,7422.5,7087.5,7403.0
04/12/2011,00:00,7416.0,7465.0,7311.5,7418.5
04/19/2011,00:00,7377.5,7425.0,7211.5,7270.0
04/26/2011,00:00,7253.5,7595.5,7246.0,7524.0
05/03/2011,00:00,7509.0,7826.5,7494.0,7733.0
05/10/2011,00:00,7727.5,7764.0,7511.5,7650.0
05/17/2011,00:00,7632.0,7782.0,7454.0,7551.0
05/24/2011,00:00,7544.5,7631.5,7309.5,7329.5
05/31/2011,00:00,7332.5,7540.0,7270.0,7376.0
06/07/2011,00:00,7434.0,7550.0,7225.5,7246.5
06/14/2011,00:00,7268.5,7436.5,7195.0,7275.0
06/21/2011,00:00,7334.0,7515.5,7219.0,7371.5
06/28/2011,00:00,7375.5,7515.5,7274.5,7335.0
07/05/2011,00:00,7326.0,7675.5,7274.5,7638.5
07/12/2011,00:00,7642.5,7723.5,7191.0,7399.5
07/19/2011,00:00,7339.5,7478.0,7191.0,7326.0
07/26/2011,00:00,7330.5,7575.5,7327.5,7538.5
08/02/2011,00:00,7547.5,7575.5,6891.0,7165.5
08/09/2011,00:00,7133.5,7149.0,5674.0,5908.0
08/16/2011,00:00,5924.5,6297.5,5668.0,6257.5
08/23/2011,00:00,6214.0,6226.5,5522.5,5611.0
08/30/2011,00:00,5699.0,5956.0,5581.5,5887.5
