date,trainAccuracy,trainCoverage,trainReward,validationAccuracy,validationCoverage,validationReward,testAccuracy,testCoverage,testReward
63192,0.5535714285714286,0.7466666666666667,3312.5,0.6470588235294118,0.85,1087.5,0.42857142857142855,0.7,-687.5
63720,0.5594713656387665,0.7566666666666667,4700.0,0.42857142857142855,0.7,-687.5,0.4666666666666667,0.75,-937.5
64248,0.5401785714285714,0.7466666666666667,4075.0,0.4375,0.8,-1200.0,0.4444444444444444,0.9,1650.0
64772,0.5411255411255411,0.77,5837.5,0.4444444444444444,0.9,1650.0,0.6666666666666666,0.75,937.5
65316,0.5278969957081545,0.7766666666666666,7400.0,0.6,0.75,150.0,0.375,0.8,-4875.0
65844,0.5324675324675324,0.77,4687.5,0.375,0.8,-4875.0,0.6875,0.8,4275.0
66388,0.5102880658436214,0.81,-1012.5,0.625,0.8,3150.0,0.5714285714285714,0.7,4300.0
66916,0.5125,0.8,-8312.5,0.5714285714285714,0.7,4300.0,0.4117647058823529,0.85,-175.0
67468,0.5462184873949579,0.7933333333333333,13562.5,0.375,0.8,-4137.5,0.4,0.75,-4950.0
67988,0.49586776859504134,0.8066666666666666,3012.5,0.4,0.75,-4950.0,0.47058823529411764,0.85,-1362.5
68488,0.4956896551724138,0.7733333333333333,1787.5,0.4375,0.8,-1787.5,0.42857142857142855,0.7,-325.0
69008,0.5021097046413502,0.79,-6225.0,0.42857142857142855,0.7,-325.0,0.6428571428571429,0.7,525.0
69560,0.5281385281385281,0.77,8175.0,0.6428571428571429,0.7,1237.5,0.4375,0.8,-575.0
70080,0.5189873417721519,0.79,4100.0,0.4375,0.8,-575.0,0.5833333333333334,0.6,362.5
70632,0.5276595744680851,0.7833333333333333,11387.5,0.5454545454545454,0.55,112.5,0.5555555555555556,0.9,4087.5
71156,0.5627705627705628,0.77,11200.0,0.5555555555555556,0.9,4087.5,0.6153846153846154,0.65,1037.5
71702,0.5374449339207048,0.7566666666666667,3212.5,0.6666666666666666,0.6,1162.5,0.46153846153846156,0.65,3000.0
72230,0.5394736842105263,0.76,15987.5,0.46153846153846156,0.65,3000.0,0.5384615384615384,0.65,-900.0
72778,0.5304347826086957,0.7666666666666667,4712.5,0.5384615384615384,0.65,-1562.5,0.35714285714285715,0.7,1175.0
73306,0.5,0.74,-3475.0,0.35714285714285715,0.7,1175.0,0.8666666666666667,0.75,4825.0
73850,0.5,0.76,-2237.5,0.8125,0.8,4812.5,0.5714285714285714,0.7,862.5
74350,0.5178571428571429,0.7466666666666667,3425.0,0.5714285714285714,0.7,862.5,0.6666666666666666,0.75,2087.5
